deleted_duplicate_id,original_id
house-2010-03-18.10.6,house-2010-03-18.6.6
house-2010-03-18.12.6,house-2010-03-18.6.6
house-2010-05-27.43.7,house-2010-05-27.43.2
senate-2010-06-24.264.2,senate-2010-06-24.47.2
senate-2010-11-26.98.1,senate-2010-11-26.91.2
house-2011-02-08.32.21,house-2011-02-08.7.9
house-2011-03-21.70.4,house-2011-03-21.67.3
senate-2011-05-10.195.9,senate-2011-05-10.261.10
senate-2011-05-10.196.1,senate-2011-05-10.262.2
senate-2011-05-10.196.9,senate-2011-05-10.262.10
senate-2011-05-10.197.9,senate-2011-05-10.263.10
senate-2011-05-10.136.1,senate-2011-05-10.137.2
senate-2011-05-10.183.21,senate-2011-05-10.248.22
senate-2011-05-10.186.1,senate-2011-05-10.251.2
senate-2011-05-10.184.1,senate-2011-05-10.249.2
senate-2011-05-10.189.1,senate-2011-05-10.255.3
senate-2011-05-10.190.1,senate-2011-05-10.256.2
senate-2011-05-10.191.1,senate-2011-05-10.257.2
senate-2011-05-10.191.15,senate-2011-05-10.257.16
senate-2011-05-10.192.1,senate-2011-05-10.258.2
senate-2011-05-10.192.8,senate-2011-05-10.258.9
senate-2011-05-10.193.1,senate-2011-05-10.259.2
senate-2011-05-10.193.8,senate-2011-05-10.259.9
senate-2011-05-10.194.1,senate-2011-05-10.260.2
senate-2011-05-10.194.8,senate-2011-05-10.260.9
senate-2011-05-10.195.1,senate-2011-05-10.261.2
senate-2011-05-10.205.7,senate-2011-05-10.271.8
senate-2011-05-10.250.2,senate-2011-05-10.185.1
senate-2011-05-10.252.2,senate-2011-05-10.187.1
senate-2011-05-10.256.32,senate-2011-05-10.190.31
senate-2011-05-10.198.4,senate-2011-05-10.264.5
senate-2011-05-10.199.1,senate-2011-05-10.265.2
senate-2011-05-10.199.10,senate-2011-05-10.265.11
senate-2011-05-10.200.4,senate-2011-05-10.266.5
senate-2011-05-10.200.1,senate-2011-05-10.266.2
senate-2011-05-10.201.1,senate-2011-05-10.267.2
senate-2011-05-10.201.4,senate-2011-05-10.267.5
senate-2011-05-10.202.1,senate-2011-05-10.268.2
senate-2011-05-10.203.1,senate-2011-05-10.269.2
senate-2011-05-10.203.12,senate-2011-05-10.269.13
senate-2011-05-10.204.1,senate-2011-05-10.270.2
senate-2011-05-10.204.7,senate-2011-05-10.270.8
senate-2011-05-10.206.7,senate-2011-05-10.272.8
senate-2011-05-10.205.1,senate-2011-05-10.271.2
senate-2011-05-10.147.1,senate-2011-05-10.212.1
senate-2011-05-10.149.1,senate-2011-05-10.214.2
senate-2011-05-10.153.1,senate-2011-05-10.218.1
senate-2011-05-10.167.1,senate-2011-05-10.232.1
senate-2011-05-10.181.1,senate-2011-05-10.245.1
senate-2011-05-10.183.1,senate-2011-05-10.248.2
senate-2011-05-10.189.5,senate-2011-05-10.255.7
senate-2011-05-10.219.1,senate-2011-05-10.154.1
senate-2011-05-10.197.1,senate-2011-05-10.263.2
senate-2011-05-10.198.1,senate-2011-05-10.264.2
senate-2011-05-10.206.1,senate-2011-05-10.272.2
senate-2011-05-10.207.1,senate-2011-05-10.273.2
senate-2011-05-10.207.4,senate-2011-05-10.273.5
senate-2011-05-10.208.1,senate-2011-05-10.274.2
senate-2011-05-10.208.13,senate-2011-05-10.274.14
senate-2011-05-10.10.2,senate-2011-05-10.14.2
senate-2011-05-10.39.2,senate-2011-05-10.36.2
senate-2011-05-10.227.1,senate-2011-05-10.162.1
senate-2011-05-10.152.1,senate-2011-05-10.217.1
senate-2011-05-10.182.1,senate-2011-05-10.247.3
senate-2011-05-10.202.11,senate-2011-05-10.268.12
senate-2011-05-10.210.3,senate-2011-05-10.145.1
senate-2011-05-10.221.3,senate-2011-05-10.156.3
senate-2011-05-10.225.1,senate-2011-05-10.160.1
senate-2011-05-10.226.1,senate-2011-05-10.161.1
senate-2011-05-10.228.1,senate-2011-05-10.163.1
senate-2011-05-10.229.1,senate-2011-05-10.164.1
senate-2011-05-10.230.1,senate-2011-05-10.165.1
senate-2011-05-10.231.1,senate-2011-05-10.166.1
senate-2011-05-10.234.1,senate-2011-05-10.169.1
senate-2011-05-10.235.1,senate-2011-05-10.170.1
senate-2011-05-10.236.1,senate-2011-05-10.171.1
senate-2011-05-10.237.1,senate-2011-05-10.172.1
senate-2011-05-10.238.1,senate-2011-05-10.173.1
senate-2011-05-10.241.4,senate-2011-05-10.176.4
senate-2011-05-10.242.1,senate-2011-05-10.177.1
senate-2011-05-10.244.2,senate-2011-05-10.180.1
house-2011-05-11.224.2,house-2011-05-11.223.2
house-2011-05-11.224.7,house-2011-05-11.223.7
senate-2011-05-11.194.5,senate-2011-05-11.193.5
senate-2011-05-11.196.5,senate-2011-05-11.195.5
senate-2011-05-11.198.5,senate-2011-05-11.197.5
house-2011-05-26.96.9,house-2011-05-26.166.9
house-2011-05-26.96.8,house-2011-05-26.166.8
house-2011-05-26.173.18,house-2011-05-26.103.18
house-2011-05-26.173.8,house-2011-05-26.103.8
house-2011-05-26.89.1,house-2011-05-26.159.2
house-2011-05-26.92.1,house-2011-05-26.162.1
house-2011-05-26.92.3,house-2011-05-26.162.3
house-2011-05-26.92.9,house-2011-05-26.162.9
house-2011-05-26.173.17,house-2011-05-26.103.17
house-2011-05-26.95.6,house-2011-05-26.165.8
house-2011-05-26.95.7,house-2011-05-26.165.9
house-2011-05-26.220.2,house-2011-05-26.152.1
house-2011-05-26.92.7,house-2011-05-26.162.7
house-2011-05-26.128.1,house-2011-05-26.197.1
house-2011-05-26.129.1,house-2011-05-26.198.1
house-2011-05-26.104.1,house-2011-05-26.174.1
house-2011-05-26.110.1,house-2011-05-26.179.2
house-2011-05-26.96.10,house-2011-05-26.166.10
house-2011-05-26.96.11,house-2011-05-26.166.11
house-2011-05-26.96.13,house-2011-05-26.166.13
house-2011-05-26.181.2,house-2011-05-26.112.1
house-2011-05-26.185.3,house-2011-05-26.116.1
house-2011-05-26.103.30,house-2011-05-26.173.30
house-2011-05-26.99.1,house-2011-05-26.169.3
house-2011-05-26.100.1,house-2011-05-26.170.3
house-2011-05-26.101.1,house-2011-05-26.171.3
house-2011-05-26.102.1,house-2011-05-26.172.1
house-2011-05-26.103.1,house-2011-05-26.173.1
house-2011-05-26.202.1,house-2011-05-26.133.1
house-2011-05-26.175.1,house-2011-05-26.105.1
house-2011-05-26.176.1,house-2011-05-26.106.1
house-2011-05-26.207.3,house-2011-05-26.139.1
house-2011-05-26.210.2,house-2011-05-26.142.1
house-2011-05-26.208.2,house-2011-05-26.140.1
house-2011-05-26.213.3,house-2011-05-26.145.1
house-2011-05-26.86.8,house-2011-05-26.156.8
house-2011-05-26.87.4,house-2011-05-26.157.5
house-2011-05-26.90.1,house-2011-05-26.160.1
house-2011-05-26.91.1,house-2011-05-26.161.2
house-2011-05-26.92.4,house-2011-05-26.162.4
house-2011-05-26.92.5,house-2011-05-26.162.5
house-2011-05-26.93.1,house-2011-05-26.163.2
house-2011-05-26.94.1,house-2011-05-26.164.1
house-2011-05-26.96.6,house-2011-05-26.166.6
house-2011-05-26.103.6,house-2011-05-26.173.6
house-2011-05-26.103.11,house-2011-05-26.173.11
house-2011-05-26.103.12,house-2011-05-26.173.12
house-2011-05-26.103.14,house-2011-05-26.173.14
house-2011-05-26.103.20,house-2011-05-26.173.20
house-2011-05-26.103.25,house-2011-05-26.173.25
house-2011-05-26.103.26,house-2011-05-26.173.26
house-2011-05-26.103.28,house-2011-05-26.173.28
house-2011-05-26.103.32,house-2011-05-26.173.32
house-2011-05-26.103.34,house-2011-05-26.173.34
house-2011-05-26.103.37,house-2011-05-26.173.37
house-2011-05-26.105.13,house-2011-05-26.175.13
house-2011-05-26.105.16,house-2011-05-26.175.16
house-2011-05-26.105.18,house-2011-05-26.175.18
house-2011-05-26.105.20,house-2011-05-26.175.20
house-2011-05-26.108.1,house-2011-05-26.177.3
house-2011-05-26.108.4,house-2011-05-26.177.6
house-2011-05-26.108.5,house-2011-05-26.177.7
house-2011-05-26.108.6,house-2011-05-26.177.8
house-2011-05-26.109.1,house-2011-05-26.178.2
house-2011-05-26.111.1,house-2011-05-26.180.2
house-2011-05-26.115.1,house-2011-05-26.184.1
house-2011-05-26.129.4,house-2011-05-26.198.4
house-2011-05-26.131.1,house-2011-05-26.200.1
house-2011-05-26.135.1,house-2011-05-26.204.1
house-2011-05-26.132.1,house-2011-05-26.201.1
house-2011-05-26.134.1,house-2011-05-26.203.1
house-2011-05-26.136.13,house-2011-05-26.205.13
house-2011-05-26.137.20,house-2011-05-26.206.20
house-2011-05-26.141.1,house-2011-05-26.209.2
house-2011-05-26.143.1,house-2011-05-26.211.2
house-2011-05-26.145.8,house-2011-05-26.213.10
house-2011-05-26.146.1,house-2011-05-26.214.2
house-2011-05-26.146.6,house-2011-05-26.214.7
house-2011-05-26.147.1,house-2011-05-26.215.2
house-2011-05-26.147.8,house-2011-05-26.215.9
house-2011-05-26.148.1,house-2011-05-26.216.2
house-2011-05-26.148.7,house-2011-05-26.216.8
house-2011-05-26.149.1,house-2011-05-26.217.2
house-2011-05-26.149.7,house-2011-05-26.217.8
house-2011-05-26.150.1,house-2011-05-26.218.2
house-2011-05-26.150.6,house-2011-05-26.218.7
house-2011-05-26.151.1,house-2011-05-26.219.2
house-2011-05-26.151.4,house-2011-05-26.219.5
house-2011-05-26.152.4,house-2011-05-26.220.5
house-2011-05-26.189.2,house-2011-05-26.120.1
house-2011-05-26.121.1,house-2011-05-26.190.2
house-2011-05-26.186.2,house-2011-05-26.117.1
house-2011-05-26.187.2,house-2011-05-26.118.1
house-2011-05-26.188.2,house-2011-05-26.119.1
house-2011-05-26.192.2,house-2011-05-26.123.1
house-2011-05-26.191.2,house-2011-05-26.122.1
house-2011-05-26.194.2,house-2011-05-26.125.1
house-2011-05-26.157.6,house-2011-05-26.87.5
house-2011-05-26.158.4,house-2011-05-26.88.4
house-2011-05-26.206.1,house-2011-05-26.137.1
house-2011-05-26.86.7,house-2011-05-26.156.7
house-2011-05-26.199.1,house-2011-05-26.130.1
house-2011-05-26.104.9,house-2011-05-26.174.9
house-2011-05-26.136.1,house-2011-05-26.205.1
house-2011-05-26.153.2,house-2011-05-26.83.1
house-2011-05-26.154.1,house-2011-05-26.84.1
house-2011-05-26.154.4,house-2011-05-26.84.4
house-2011-05-26.154.6,house-2011-05-26.84.6
house-2011-05-26.155.2,house-2011-05-26.85.1
house-2011-05-26.154.9,house-2011-05-26.84.9
house-2011-05-26.156.1,house-2011-05-26.86.1
house-2011-05-26.156.9,house-2011-05-26.86.9
house-2011-05-26.156.10,house-2011-05-26.86.10
house-2011-05-26.157.2,house-2011-05-26.87.1
house-2011-05-26.158.1,house-2011-05-26.88.1
house-2011-05-26.158.3,house-2011-05-26.88.3
house-2011-05-26.158.5,house-2011-05-26.88.5
house-2011-05-26.158.7,house-2011-05-26.88.7
house-2011-05-26.124.1,house-2011-05-26.193.2
house-2011-05-30.22.9,house-2011-05-30.29.6
senate-2011-06-14.136.5,senate-2011-06-14.135.5
senate-2011-06-15.19.2,senate-2011-06-15.35.2
senate-2011-06-15.23.2,senate-2011-06-15.35.2
senate-2011-06-15.31.2,senate-2011-06-15.35.2
senate-2011-06-15.27.2,senate-2011-06-15.35.2
senate-2011-06-16.300.1,senate-2011-06-16.211.1
senate-2011-06-16.342.2,senate-2011-06-16.211.1
senate-2011-06-16.301.12,senate-2011-06-16.212.12
senate-2011-06-16.343.13,senate-2011-06-16.212.12
senate-2011-06-16.344.2,senate-2011-06-16.213.1
senate-2011-06-16.302.1,senate-2011-06-16.213.1
senate-2011-06-16.302.13,senate-2011-06-16.213.13
senate-2011-06-16.344.14,senate-2011-06-16.213.13
senate-2011-06-16.331.2,senate-2011-06-16.200.1
senate-2011-06-16.289.1,senate-2011-06-16.200.1
senate-2011-06-16.332.2,senate-2011-06-16.201.1
senate-2011-06-16.290.1,senate-2011-06-16.201.1
senate-2011-06-16.333.2,senate-2011-06-16.202.1
senate-2011-06-16.291.1,senate-2011-06-16.202.1
senate-2011-06-16.333.13,senate-2011-06-16.202.12
senate-2011-06-16.291.12,senate-2011-06-16.202.12
senate-2011-06-16.334.13,senate-2011-06-16.203.12
senate-2011-06-16.292.12,senate-2011-06-16.203.12
senate-2011-06-16.335.12,senate-2011-06-16.204.11
senate-2011-06-16.293.11,senate-2011-06-16.204.11
senate-2011-06-16.336.2,senate-2011-06-16.205.1
senate-2011-06-16.294.1,senate-2011-06-16.205.1
senate-2011-06-16.337.2,senate-2011-06-16.206.1
senate-2011-06-16.295.1,senate-2011-06-16.206.1
senate-2011-06-16.338.13,senate-2011-06-16.207.12
senate-2011-06-16.296.12,senate-2011-06-16.207.12
senate-2011-06-16.339.2,senate-2011-06-16.208.1
senate-2011-06-16.297.1,senate-2011-06-16.208.1
senate-2011-06-16.339.13,senate-2011-06-16.208.12
senate-2011-06-16.297.12,senate-2011-06-16.208.12
senate-2011-06-16.340.2,senate-2011-06-16.209.1
senate-2011-06-16.298.1,senate-2011-06-16.209.1
senate-2011-06-16.319.1,senate-2011-06-16.187.1
senate-2011-06-16.276.1,senate-2011-06-16.187.1
senate-2011-06-16.141.10,senate-2011-06-16.230.10
senate-2011-06-16.157.13,senate-2011-06-16.246.13
senate-2011-06-16.158.1,senate-2011-06-16.247.1
senate-2011-06-16.164.1,senate-2011-06-16.253.1
senate-2011-06-16.193.1,senate-2011-06-16.324.2
senate-2011-06-16.282.1,senate-2011-06-16.324.2
senate-2011-06-16.286.38,senate-2011-06-16.328.39
senate-2011-06-16.197.38,senate-2011-06-16.328.39
senate-2011-06-16.223.1,senate-2011-06-16.354.1
senate-2011-06-16.312.1,senate-2011-06-16.354.1
senate-2011-06-16.362.2,senate-2011-06-16.354.1
senate-2011-06-16.314.1,senate-2011-06-16.356.1
senate-2011-06-16.225.1,senate-2011-06-16.356.1
senate-2011-06-16.364.2,senate-2011-06-16.356.1
senate-2011-06-16.153.13,senate-2011-06-16.242.13
senate-2011-06-16.303.1,senate-2011-06-16.214.1
senate-2011-06-16.345.2,senate-2011-06-16.214.1
senate-2011-06-16.236.3,senate-2011-06-16.147.1
senate-2011-06-16.186.1,senate-2011-06-16.318.1
senate-2011-06-16.275.1,senate-2011-06-16.318.1
senate-2011-06-16.304.1,senate-2011-06-16.215.1
senate-2011-06-16.346.2,senate-2011-06-16.215.1
senate-2011-06-16.139.1,senate-2011-06-16.228.3
senate-2011-06-16.304.7,senate-2011-06-16.215.7
senate-2011-06-16.346.8,senate-2011-06-16.215.7
senate-2011-06-16.305.1,senate-2011-06-16.216.1
senate-2011-06-16.347.2,senate-2011-06-16.216.1
senate-2011-06-16.305.4,senate-2011-06-16.216.4
senate-2011-06-16.347.5,senate-2011-06-16.216.4
senate-2011-06-16.240.4,senate-2011-06-16.151.4
senate-2011-06-16.306.1,senate-2011-06-16.217.1
senate-2011-06-16.348.2,senate-2011-06-16.217.1
senate-2011-06-16.306.4,senate-2011-06-16.217.4
senate-2011-06-16.348.5,senate-2011-06-16.217.4
senate-2011-06-16.241.4,senate-2011-06-16.152.4
senate-2011-06-16.307.1,senate-2011-06-16.218.1
senate-2011-06-16.349.1,senate-2011-06-16.218.1
senate-2011-06-16.307.6,senate-2011-06-16.218.6
senate-2011-06-16.349.6,senate-2011-06-16.218.6
senate-2011-06-16.308.1,senate-2011-06-16.219.1
senate-2011-06-16.350.1,senate-2011-06-16.219.1
senate-2011-06-16.358.2,senate-2011-06-16.219.1
senate-2011-06-16.308.9,senate-2011-06-16.219.9
senate-2011-06-16.350.9,senate-2011-06-16.219.9
senate-2011-06-16.358.10,senate-2011-06-16.219.9
senate-2011-06-16.242.5,senate-2011-06-16.153.5
senate-2011-06-16.309.1,senate-2011-06-16.220.1
senate-2011-06-16.351.1,senate-2011-06-16.220.1
senate-2011-06-16.359.2,senate-2011-06-16.220.1
senate-2011-06-16.309.9,senate-2011-06-16.220.9
senate-2011-06-16.351.9,senate-2011-06-16.220.9
senate-2011-06-16.359.10,senate-2011-06-16.220.9
senate-2011-06-16.310.1,senate-2011-06-16.221.1
senate-2011-06-16.352.1,senate-2011-06-16.221.1
senate-2011-06-16.360.2,senate-2011-06-16.221.1
senate-2011-06-16.310.8,senate-2011-06-16.221.8
senate-2011-06-16.352.8,senate-2011-06-16.221.8
senate-2011-06-16.360.9,senate-2011-06-16.221.8
senate-2011-06-16.311.1,senate-2011-06-16.222.1
senate-2011-06-16.353.1,senate-2011-06-16.222.1
senate-2011-06-16.361.2,senate-2011-06-16.222.1
senate-2011-06-16.249.1,senate-2011-06-16.160.1
senate-2011-06-16.270.1,senate-2011-06-16.181.1
senate-2011-06-16.222.7,senate-2011-06-16.311.7
senate-2011-06-16.353.7,senate-2011-06-16.311.7
senate-2011-06-16.361.8,senate-2011-06-16.311.7
senate-2011-06-16.223.4,senate-2011-06-16.312.4
senate-2011-06-16.354.4,senate-2011-06-16.312.4
senate-2011-06-16.362.5,senate-2011-06-16.312.4
senate-2011-06-16.224.1,senate-2011-06-16.313.1
senate-2011-06-16.355.1,senate-2011-06-16.313.1
senate-2011-06-16.363.2,senate-2011-06-16.313.1
senate-2011-06-16.224.8,senate-2011-06-16.313.8
senate-2011-06-16.355.8,senate-2011-06-16.313.8
senate-2011-06-16.363.9,senate-2011-06-16.313.8
senate-2011-06-16.225.6,senate-2011-06-16.314.6
senate-2011-06-16.356.6,senate-2011-06-16.314.6
senate-2011-06-16.364.7,senate-2011-06-16.314.6
senate-2011-06-16.226.1,senate-2011-06-16.315.1
senate-2011-06-16.357.1,senate-2011-06-16.315.1
senate-2011-06-16.365.2,senate-2011-06-16.315.1
senate-2011-06-16.226.4,senate-2011-06-16.315.4
senate-2011-06-16.357.4,senate-2011-06-16.315.4
senate-2011-06-16.365.5,senate-2011-06-16.315.4
senate-2011-06-16.273.1,senate-2011-06-16.316.2
senate-2011-06-16.184.1,senate-2011-06-16.316.2
senate-2011-06-16.280.1,senate-2011-06-16.322.3
senate-2011-06-16.191.1,senate-2011-06-16.322.3
senate-2011-06-16.278.1,senate-2011-06-16.321.2
senate-2011-06-16.189.1,senate-2011-06-16.321.2
senate-2011-06-16.197.1,senate-2011-06-16.328.2
senate-2011-06-16.286.1,senate-2011-06-16.328.2
senate-2011-06-16.281.1,senate-2011-06-16.323.2
senate-2011-06-16.192.1,senate-2011-06-16.323.2
senate-2011-06-16.284.1,senate-2011-06-16.326.3
senate-2011-06-16.195.1,senate-2011-06-16.326.3
senate-2011-06-16.284.7,senate-2011-06-16.326.9
senate-2011-06-16.195.7,senate-2011-06-16.326.9
senate-2011-06-16.285.1,senate-2011-06-16.327.2
senate-2011-06-16.196.1,senate-2011-06-16.327.2
senate-2011-06-16.287.1,senate-2011-06-16.329.2
senate-2011-06-16.198.1,senate-2011-06-16.329.2
senate-2011-06-16.285.10,senate-2011-06-16.327.11
senate-2011-06-16.196.10,senate-2011-06-16.327.11
senate-2011-06-16.287.5,senate-2011-06-16.329.6
senate-2011-06-16.198.5,senate-2011-06-16.329.6
senate-2011-06-16.288.1,senate-2011-06-16.330.2
senate-2011-06-16.199.1,senate-2011-06-16.330.2
senate-2011-06-16.288.4,senate-2011-06-16.330.5
senate-2011-06-16.199.4,senate-2011-06-16.330.5
senate-2011-06-16.200.9,senate-2011-06-16.331.10
senate-2011-06-16.289.9,senate-2011-06-16.331.10
senate-2011-06-16.203.1,senate-2011-06-16.334.2
senate-2011-06-16.292.1,senate-2011-06-16.334.2
senate-2011-06-16.204.1,senate-2011-06-16.335.2
senate-2011-06-16.293.1,senate-2011-06-16.335.2
senate-2011-06-16.205.11,senate-2011-06-16.336.12
senate-2011-06-16.294.11,senate-2011-06-16.336.12
senate-2011-06-16.206.11,senate-2011-06-16.337.12
senate-2011-06-16.295.11,senate-2011-06-16.337.12
senate-2011-06-16.207.1,senate-2011-06-16.338.2
senate-2011-06-16.296.1,senate-2011-06-16.338.2
senate-2011-06-16.290.4,senate-2011-06-16.201.4
senate-2011-06-16.332.5,senate-2011-06-16.201.4
senate-2011-06-16.298.12,senate-2011-06-16.209.12
senate-2011-06-16.340.13,senate-2011-06-16.209.12
senate-2011-06-16.341.2,senate-2011-06-16.210.1
senate-2011-06-16.299.1,senate-2011-06-16.210.1
senate-2011-06-16.341.12,senate-2011-06-16.210.11
senate-2011-06-16.299.11,senate-2011-06-16.210.11
senate-2011-06-16.300.11,senate-2011-06-16.211.11
senate-2011-06-16.342.12,senate-2011-06-16.211.11
senate-2011-06-16.301.1,senate-2011-06-16.212.1
senate-2011-06-16.343.2,senate-2011-06-16.212.1
senate-2011-06-16.142.1,senate-2011-06-16.231.1
senate-2011-06-16.138.1,senate-2011-06-16.227.3
senate-2011-06-16.141.1,senate-2011-06-16.230.1
senate-2011-06-16.140.1,senate-2011-06-16.229.1
senate-2011-06-16.153.10,senate-2011-06-16.242.10
senate-2011-06-16.144.1,senate-2011-06-16.233.3
senate-2011-06-16.145.1,senate-2011-06-16.234.3
senate-2011-06-16.150.1,senate-2011-06-16.239.3
senate-2011-06-16.151.1,senate-2011-06-16.240.1
senate-2011-06-16.152.1,senate-2011-06-16.241.1
senate-2011-06-16.152.7,senate-2011-06-16.241.7
senate-2011-06-16.152.6,senate-2011-06-16.241.6
senate-2011-06-16.153.7,senate-2011-06-16.242.7
senate-2011-06-16.153.1,senate-2011-06-16.242.1
senate-2011-06-16.153.12,senate-2011-06-16.242.12
senate-2011-06-16.153.15,senate-2011-06-16.242.15
senate-2011-06-16.153.14,senate-2011-06-16.242.14
senate-2011-06-16.154.1,senate-2011-06-16.243.1
senate-2011-06-16.153.18,senate-2011-06-16.242.18
senate-2011-06-16.155.1,senate-2011-06-16.244.1
senate-2011-06-16.157.1,senate-2011-06-16.246.1
senate-2011-06-16.161.1,senate-2011-06-16.250.1
senate-2011-06-16.165.1,senate-2011-06-16.254.1
senate-2011-06-16.165.3,senate-2011-06-16.254.3
senate-2011-06-16.168.1,senate-2011-06-16.257.1
senate-2011-06-16.168.4,senate-2011-06-16.257.4
senate-2011-06-16.171.1,senate-2011-06-16.260.2
senate-2011-06-16.174.1,senate-2011-06-16.263.1
senate-2011-06-16.174.8,senate-2011-06-16.263.8
senate-2011-06-16.177.1,senate-2011-06-16.266.1
senate-2011-06-16.182.1,senate-2011-06-16.271.1
senate-2011-06-16.345.13,senate-2011-06-16.303.12
senate-2011-06-16.214.12,senate-2011-06-16.303.12
senate-2011-06-16.169.1,senate-2011-06-16.258.1
senate-2011-06-16.153.16,senate-2011-06-16.242.16
senate-2011-06-16.156.1,senate-2011-06-16.245.1
senate-2011-06-20.85.1,senate-2011-06-20.145.1
senate-2011-06-20.125.1,senate-2011-06-20.145.1
senate-2011-06-20.126.1,senate-2011-06-20.146.1
senate-2011-06-20.86.1,senate-2011-06-20.146.1
senate-2011-06-20.95.1,senate-2011-06-20.156.2
senate-2011-06-20.135.1,senate-2011-06-20.156.2
senate-2011-06-20.101.1,senate-2011-06-20.162.2
senate-2011-06-20.141.1,senate-2011-06-20.162.2
senate-2011-06-20.101.12,senate-2011-06-20.162.13
senate-2011-06-20.141.12,senate-2011-06-20.162.13
senate-2011-06-20.109.1,senate-2011-06-20.70.1
senate-2011-06-20.157.2,senate-2011-06-20.96.1
senate-2011-06-20.136.1,senate-2011-06-20.96.1
senate-2011-06-20.139.1,senate-2011-06-20.99.1
senate-2011-06-20.160.2,senate-2011-06-20.99.1
senate-2011-06-20.68.4,senate-2011-06-20.107.4
senate-2011-06-20.154.3,senate-2011-06-20.133.1
senate-2011-06-20.93.1,senate-2011-06-20.133.1
senate-2011-06-20.85.11,senate-2011-06-20.145.11
senate-2011-06-20.125.11,senate-2011-06-20.145.11
senate-2011-06-20.106.1,senate-2011-06-20.67.1
senate-2011-06-20.108.1,senate-2011-06-20.69.1
senate-2011-06-20.110.1,senate-2011-06-20.71.1
senate-2011-06-20.115.1,senate-2011-06-20.76.1
senate-2011-06-20.115.7,senate-2011-06-20.76.7
senate-2011-06-20.115.9,senate-2011-06-20.76.9
senate-2011-06-20.118.1,senate-2011-06-20.78.1
senate-2011-06-20.119.1,senate-2011-06-20.79.1
senate-2011-06-20.120.1,senate-2011-06-20.80.1
senate-2011-06-20.124.1,senate-2011-06-20.84.1
senate-2011-06-20.144.1,senate-2011-06-20.84.1
senate-2011-06-20.125.9,senate-2011-06-20.85.9
senate-2011-06-20.145.9,senate-2011-06-20.85.9
senate-2011-06-20.130.1,senate-2011-06-20.90.1
senate-2011-06-20.151.1,senate-2011-06-20.90.1
senate-2011-06-20.130.5,senate-2011-06-20.90.5
senate-2011-06-20.151.5,senate-2011-06-20.90.5
senate-2011-06-20.130.8,senate-2011-06-20.90.8
senate-2011-06-20.151.8,senate-2011-06-20.90.8
senate-2011-06-20.131.1,senate-2011-06-20.91.1
senate-2011-06-20.152.1,senate-2011-06-20.91.1
senate-2011-06-20.134.1,senate-2011-06-20.94.1
senate-2011-06-20.155.2,senate-2011-06-20.94.1
senate-2011-06-20.134.5,senate-2011-06-20.94.5
senate-2011-06-20.155.6,senate-2011-06-20.94.5
senate-2011-06-20.138.1,senate-2011-06-20.98.1
senate-2011-06-20.159.3,senate-2011-06-20.98.1
senate-2011-06-20.138.6,senate-2011-06-20.98.6
senate-2011-06-20.159.8,senate-2011-06-20.98.6
senate-2011-06-20.139.6,senate-2011-06-20.99.6
